bp_trait	outcome	outcome_label	outcome_type	cohort	cohort_display	site	ancestry_group	pgs_id	N	n_events	fs_beta_mmHg_per_SD	fs_se	fs_p	fs_F	rf_beta_per_SD	rf_se	rf_p	yi	sei	or_per_10mmHg	or_lo95	or_hi95	grams_per_10mmHg	grams_lo95	grams_hi95	wald_p	analysis_scale	status	model_convergence
DBP	SGA	Small for gestational age (<10th centile)	binary	AMANHI-Bangladesh	AMANHI-Sylhet, Bangladesh	Sylhet	South Asian	PGS004758	2121	935	1.1772566134411124	0.14437369310614365	5.95964098153257e-16	66.49150235154003	0.008580245782965247	0.04465551547349644	0.8476301744255591	0.07288339419801815	0.37942374308576454	1.0756051078057531	0.5113059488291588	2.2626890036915777				0.8476719403746373	log odds ratio	ok	converged
DBP	SGA	Small for gestational age (<10th centile)	binary	AMANHI-Pakistan	AMANHI-Karachi, Pakistan	Karachi	South Asian	PGS004758	1677	572	1.5039848231430843	0.16726915702845802	6.455657262872073e-19	80.84537336610074	-0.046998624198406704	0.05442291101687229	0.3878177793549593	-0.31249400575856345	0.3635232953757095	0.7316200144405043	0.3587965857122371	1.4918420822410516				0.3899953451238799	log odds ratio	ok	converged
DBP	SGA	Small for gestational age (<10th centile)	binary	GAPPS-Bangladesh	PreSSMat-Matlab, Bangladesh	Matlab	South Asian	PGS004758	2555	843	1.4940301902386877	0.11758901296483087	6.626997642201767e-36	161.43037552863962	0.040756060185892985	0.042748156654500415	0.3403878249279577	0.2727927484476184	0.286930877026535	1.3136279651754894	0.7485690931804109	2.305222652941149				0.3417433030026463	log odds ratio	ok	converged
DBP	SGA	Small for gestational age (<10th centile)	binary	AMANHI-Pemba	AMANHI-Pemba, Tanzania	Pemba	African	PGS004604	3231	329	0.5450075612036637	0.10572514249861395	2.690016704416323e-07	26.573483941637157	-0.011956718191839001	0.05919811694896869	0.8399339109438513	-0.21938628090649367	1.0870223399558783	0.803011470237413	0.09537392438183698	6.761045280586698				0.840054977008649	log odds ratio	ok	converged
DBP	SGA	Small for gestational age (<10th centile)	binary	GAPPS-Zambia	ZAPPS-Lusaka, Zambia	Lusaka	African	PGS004604	1339	240	1.084535014833084	0.1835215171178904	4.351982397361386e-09	34.923131120360765	-0.038062343688287315	0.07155579277268473	0.5947776644977816	-0.35095541561786575	0.6624505147978805	0.7040151412360074	0.19217316264767437	2.579118292382193				0.5962619802535041	log odds ratio	ok	converged
SBP	BWT	Birth weight, g	continuous	AMANHI-Bangladesh	AMANHI-Sylhet, Bangladesh	Sylhet	South Asian	PGS004830	2123		1.568468583560134	0.18102196923366462	8.850208890145718e-18	75.07391742717803	5.555565234299298	10.066256259013647	0.5810753404131915	35.42031566669439	64.30894656319745				35.42031566669439	-90.62521959717262	161.4658509305614	0.5817820004628007	grams	ok	converged
SBP	BWT	Birth weight, g	continuous	AMANHI-Pakistan	AMANHI-Karachi, Pakistan	Karachi	South Asian	PGS004830	1677		1.968808926589669	0.22021151893319088	1.0027827062102677e-18	79.93317698030346	4.917059168642121	10.912746305634318	0.6523512448030659	24.97479111474444	55.49850969019727				24.97479111474444	-83.8022878780422	133.7518701075311	0.6527044413332503	grams	ok	converged
SBP	BWT	Birth weight, g	continuous	GAPPS-Bangladesh	PreSSMat-Matlab, Bangladesh	Matlab	South Asian	PGS004830	2555		2.151115109809445	0.1603513783381891	1.0671055655524403e-39	179.96245412858536	-17.645941321527598	8.821128489216294	0.045561243051205305	-82.0315995227738	41.46065065443509				-82.0315995227738	-163.29447480546656	-0.7687242400810277	0.04786770176528376	grams	ok	converged
SBP	BWT	Birth weight, g	continuous	AMANHI-Pemba	AMANHI-Pemba, Tanzania	Pemba	African	PGS004603	3269		1.213784861803623	0.16242459614042704	1.0021099417196487e-13	55.84442739764621	-13.10836914952563	8.734097875659105	0.13349720704662518	-107.99582003393299	73.39440080439402				-107.99582003393299	-251.84884561054525	35.857205542679296	0.14117082622069146	grams	ok	converged
SBP	BWT	Birth weight, g	continuous	GAPPS-Zambia	ZAPPS-Lusaka, Zambia	Lusaka	African	PGS004603	1342		1.0985665269958156	0.24443279179062735	7.583736982982785e-06	20.199182261245035	12.894033236973334	13.624523488262176	0.3441243273621305	117.37143741520941	126.740679695136				117.37143741520941	-131.04029478725712	365.783169617676	0.3544067489892012	grams	ok	converged
