bp_trait	outcome	outcome_label	outcome_type	analysis_scale	population_group	model	k_cohorts	N_total	events_total	pooled_estimate	pooled_se	ci_lo	ci_hi	or_per_10mmHg	or_lo95	or_hi95	grams_per_10mmHg	grams_lo95	grams_hi95	z	p	I2	Q	Q_df	Q_p	cohorts
SBP	BWT	Birth weight, g	continuous	grams	African	fixed effect (inverse variance), z test	2	4611		-51.39918149703111	63.51348465862848	-175.88332396058016	73.08496096651794				-51.39918149703111	-175.88332396058016	73.08496096651794	-0.8092640763341961	0.418363264938066	57.76773238512983	2.3678576985714486	1	0.12385691820335716	AMANHI-Pemba, Tanzania; ZAPPS-Lusaka, Zambia
SBP	BWT	Birth weight, g	continuous	grams	Overall	fixed effect (inverse variance), z test	5	10966		-31.36551990564329	26.763422329702394	-83.82086377489505	21.089823963608467				-31.36551990564329	-83.82086377489505	21.089823963608467	-1.1719547492561677	0.2412152241605181	34.09978496526938	6.069782925430405	4	0.19399710158568043	AMANHI-Sylhet, Bangladesh; AMANHI-Karachi, Pakistan; PreSSMat-Matlab, Bangladesh; AMANHI-Pemba, Tanzania; ZAPPS-Lusaka, Zambia
DBP	PTB	Preterm birth	binary	log odds ratio	South Asian	fixed effect (inverse variance), z test	3	7840	948	0.07289733325066249	0.27153866368350654	-0.4593086679791446	0.6051033344804696	1.0756201008264694	0.6317202229979186	1.8314414501587932				0.2684602342141169	0.7883450802166634	72.2480314524036	7.206695973908557	2	0.02723239594627037	AMANHI-Sylhet, Bangladesh; AMANHI-Karachi, Pakistan; PreSSMat-Matlab, Bangladesh
DBP	PTB	Preterm birth	binary	log odds ratio	African	fixed effect (inverse variance), z test	2	4757	263	0.4695918904109677	0.8137570970862784	-1.1253427120420019	2.064526492863937	1.599341353468854	0.32454122411160935	7.881565036668282				0.5770664146492591	0.5638945912103581	0	0.8378644217231873	1	0.36000826238236744	AMANHI-Pemba, Tanzania; ZAPPS-Lusaka, Zambia
DBP	PTB	Preterm birth	binary	log odds ratio	Overall	fixed effect (inverse variance), z test	5	12597	1211	0.11264217847735195	0.25757699569210474	-0.3921994563252019	0.6174838132799058	1.1192313762137172	0.6755693539409475	1.8542565114798704				0.4373145908262671	0.6618832151682373	51.56442598481128	8.258392888552649	4	0.08255855862590276	AMANHI-Sylhet, Bangladesh; AMANHI-Karachi, Pakistan; PreSSMat-Matlab, Bangladesh; AMANHI-Pemba, Tanzania; ZAPPS-Lusaka, Zambia
DBP	LBW	Low birth weight (<2,500 g)	binary	log odds ratio	South Asian	fixed effect (inverse variance), z test	3	6355	1483	0.09686352170629026	0.2245261883658129	-0.34319972107675906	0.5369267644893396	1.10171000385865	0.7094964960047492	1.710741264315				0.431413023181393	0.6661680822394843	0	0.30496460465256614	2	0.858574088586021	AMANHI-Sylhet, Bangladesh; AMANHI-Karachi, Pakistan; PreSSMat-Matlab, Bangladesh
DBP	LBW	Low birth weight (<2,500 g)	binary	log odds ratio	African	fixed effect (inverse variance), z test	2	4611	283	0.9214692719023636	0.7525117009966933	-0.553426559996129	2.396365103800856	2.512979929605851	0.5749762404493753	10.983181012255839				1.2245248421810424	0.2207543007786058	50.47270273130908	2.019088573670581	1	0.15533235238853638	AMANHI-Pemba, Tanzania; ZAPPS-Lusaka, Zambia
DBP	LBW	Low birth weight (<2,500 g)	binary	log odds ratio	Overall	fixed effect (inverse variance), z test	5	10966	1766	0.1642722864911244	0.2151534242091112	-0.25742067610920166	0.5859652490914504	1.1785351706147011	0.7730429446555707	1.796724435528827				0.763512303348077	0.4451579276874578	0	3.4266804266482755	4	0.48911395181510625	AMANHI-Sylhet, Bangladesh; AMANHI-Karachi, Pakistan; PreSSMat-Matlab, Bangladesh; AMANHI-Pemba, Tanzania; ZAPPS-Lusaka, Zambia
DBP	SGA	Small for gestational age (<10th centile)	binary	log odds ratio	South Asian	fixed effect (inverse variance), z test	3	6353	2.35e+03	0.054576325048631455	0.19367408888277257	-0.325017913900212	0.43417056399747495	1.056093079693328	0.7225144104750902	1.5436821422603182				0.2817946652722632	0.7781009617356863	0	1.6003273595702574	2	0.4492554240675967	AMANHI-Sylhet, Bangladesh; AMANHI-Karachi, Pakistan; PreSSMat-Matlab, Bangladesh
DBP	SGA	Small for gestational age (<10th centile)	binary	log odds ratio	African	fixed effect (inverse variance), z test	2	4570	569	-0.3153248221930305	0.5656828185268861	-1.4240427731788343	0.7933931287927733	0.7295518611421132	0.24073879458213948	2.2108855326777017				-0.5574233684773715	0.5772382029800357	0	0.010682433309257864	1	0.9176805449533392	AMANHI-Pemba, Tanzania; ZAPPS-Lusaka, Zambia
DBP	SGA	Small for gestational age (<10th centile)	binary	log odds ratio	Overall	fixed effect (inverse variance), z test	5	10923	2919	0.015766245636324054	0.18323246100717153	-0.3433627787363719	0.37489527000902	1.0158911886508577	0.7093808165980702	1.4548390413596366				0.08604504654722167	0.931430608019955	0	1.9937350879447677	4	0.736911246628307	AMANHI-Sylhet, Bangladesh; AMANHI-Karachi, Pakistan; PreSSMat-Matlab, Bangladesh; AMANHI-Pemba, Tanzania; ZAPPS-Lusaka, Zambia
DBP	BWT	Birth weight, g	continuous	grams	South Asian	fixed effect (inverse variance), z test	3	6355		-47.951985596316	40.93357593067551	-128.1803201788756	32.27634898624361				-47.951985596316	-128.1803201788756	32.27634898624361	-1.1714585033451943	0.2414145283074002	13.60109623009373	2.314844185206691	2	0.31429536177563144	AMANHI-Sylhet, Bangladesh; AMANHI-Karachi, Pakistan; PreSSMat-Matlab, Bangladesh
DBP	BWT	Birth weight, g	continuous	grams	African	fixed effect (inverse variance), z test	2	4611		-35.17028104153781	104.65827504009313	-240.2967308042076	169.956168721132				-35.17028104153781	-240.2967308042076	169.956168721132	-0.3360487360226849	0.7368341152718489	88.50300593245441	8.69792568496543	1	0.003185723728157121	AMANHI-Pemba, Tanzania; ZAPPS-Lusaka, Zambia
DBP	BWT	Birth weight, g	continuous	grams	Overall	fixed effect (inverse variance), z test	5	10966		-46.25615602633022	38.12152687102764	-120.97297572922028	28.460663676559847				-46.25615602633022	-120.97297572922028	28.460663676559847	-1.2133867613126716	0.2249819854370573	63.721144734389085	11.025706215685474	4	0.026276625947313087	AMANHI-Sylhet, Bangladesh; AMANHI-Karachi, Pakistan; PreSSMat-Matlab, Bangladesh; AMANHI-Pemba, Tanzania; ZAPPS-Lusaka, Zambia
