outcome	bp_trait	slot	kind	row_key	row_label	k_cohorts	estimate	ci_lo	ci_hi	axis_lo	axis_hi	axis_scale	reference	truncated_lo	truncated_hi	drawn_lo	drawn_hi	value_text	heterogeneity_text	I2	Q_p
PTB	DBP	5	cohort	AMANHI-Pemba	AMANHI-Pemba	1	5.606095541232629	0.2466588172497111	127.41611091733714	0.2	1e+01	logarithmic	1	FALSE	TRUE	0.2466588172497111	1e+01	5.61 (0.25 to 127.42)	""		
PTB	DBP	6	cohort	GAPPS-Zambia	ZAPPS-Lusaka	1	1.0276071094009471	0.1607685824281023	6.568300568076575	0.2	1e+01	logarithmic	1	TRUE	FALSE	0.2	6.568300568076575	1.03 (0.16 to 6.57)	""		
PTB	DBP	7	pool_sub	African	African pooled	2	1.599341353468854	0.32454122411160935	7.881565036668282	0.2	1e+01	logarithmic	1	FALSE	FALSE	0.32454122411160935	7.881565036668282	1.60 (0.32 to 7.88)	""	0	0.36000826238236744
PTB	DBP	8	pool_all	Overall	Overall pooled	5	1.1192313762137172	0.6755693539409475	1.8542565114798704	0.2	1e+01	logarithmic	1	FALSE	FALSE	0.6755693539409475	1.8542565114798704	1.12 (0.68 to 1.85)	I² = 52%; Q p = 0.083	51.56442598481128	0.08255855862590276
PTB	SBP	1	cohort	AMANHI-Bangladesh	AMANHI-Sylhet	1	0.677590436829401	0.29065116584246126	1.5796558006291137	0.2	1e+01	logarithmic	1	FALSE	FALSE	0.29065116584246126	1.5796558006291137	0.68 (0.29 to 1.58)	""		
PTB	SBP	2	cohort	AMANHI-Pakistan	AMANHI-Karachi	1	0.5075937352112614	0.24746683031724181	1.0411552921877334	0.2	1e+01	logarithmic	1	FALSE	FALSE	0.24746683031724181	1.0411552921877334	0.51 (0.25 to 1.04)	""		
PTB	SBP	3	cohort	GAPPS-Bangladesh	PreSSMat-Matlab	1	1.8975796493318395	1.131024362169341	3.1836701719243967	0.2	1e+01	logarithmic	1	FALSE	FALSE	1.131024362169341	3.1836701719243967	1.90 (1.13 to 3.18)	""		
PTB	SBP	4	pool_sub	South Asian	South Asian pooled	3	1.0786709213583818	0.7405198129631195	1.5712354162792512	0.2	1e+01	logarithmic	1	FALSE	FALSE	0.7405198129631195	1.5712354162792512	1.08 (0.74 to 1.57)	""	79.93215490892919	0.006852812893118288
PTB	SBP	5	cohort	AMANHI-Pemba	AMANHI-Pemba	1	2.4351484781155954	0.564174355794444	10.510843056874545	0.2	1e+01	logarithmic	1	FALSE	TRUE	0.564174355794444	1e+01	2.44 (0.56 to 10.51)	""		
PTB	SBP	6	cohort	GAPPS-Zambia	ZAPPS-Lusaka	1	2.2485314460674823	0.34914268051759084	14.480881158554295	0.2	1e+01	logarithmic	1	FALSE	TRUE	0.34914268051759084	1e+01	2.25 (0.35 to 14.48)	""		
